841369,,Zmeyka
6417562,,Borodki
6417706,,Istra
466278,,Yurtsovo
6418054,,Zdravnitsa
481444,,Troshkovo
1487504,,Verkh-Neyvinskiy
473537,,Vinogradovo
485177,,Syrkovo
485275,,Sychëvo
523655,,Nadterechnoye
6610833,,Половинка
,,Yakutsk
471769,,Vorsino
,,Сiмферополь (Zheleznodorozhnyy rayon)
462861,,Zhostovo
6417156,,Gubtsevo
548374,,Astrakhan (Kirovskiy Rayon)
,,Krasnoyarsk Krai
469220,,Yamskaya Sloboda
481004,,Tsentral’naya
463216,,Zherdevka
474163,,Verzilovo
6417485,,Bykovo
7874153,,Gubkinsky
6417872,,Gavrilkovo
518630,,Zhukovka
465014,,Zanevka
484910,,Tagan’kovo
466342,,Yurlovo (Dom 4)
6416944,,Kurilovo
482515,,Tokarëvo
464176,,Pushkino (Zavety Il’icha)
6417602,,Kirillovka
471620,,Voskresenskoye
2014134,,Urgal
510225,,Petergof
11238229,,Obruchevo
8629392,,Кипарисово-2
840987,,Yuzhnyy
501320,,Roshal'
2013459,,Verkh-Usugli
2115627,,Ust’-Kamchatsk Staryy
875231,,Zelënyy
482879,,Timonino
6640354,,Stan-Bekhtemir
554179,,Cheboksary (Kalininskiy Rayon)
2024226,,Vladivostok (Frunzenskiy Rayon)
,,Baltiysk
553208,,Nizhny Novgorod (Kanavinskiy Rayon)
472528,,Vol’nyy Aul
8436019,,Toronto (Old Toronto)
481881,,Volgograd (Traktorozavodskiy Rayon)
467376,,Yerëmino
462816,,Zhukovka
8125841,,Perovo
1499732,,Malougrenevo
8604483,,Blagovetschenskaya
1502041,,Krasnoyarka
563698,,Perm (Dzerzhinskiy Rayon)
,,Arkhangelsk Oblast
2119370,,Zavety Il’icha
469563,,Yakovlevo
12041475,,Shakhunya Urban Okrug
6417297,,Gorodishche
6610370,,Chistyye Bory
464826,,Zaplavskaya
524649,,Mstikhino
524299,,Murmashi
463051,,Zhilëvo
797411,,Stepnoye
481498,,Troitskoye
584221,Adyge-Khabl’,Adyge-Khabl'
582609,Al’fa,Al’fa
580862,Arshan’,Arshan'
576745,Bershet’,Bershet'
574364,Bol’shesavino,Bol'shoye Savino
571289,Budënnovskiy,Budënnovskiy
1505472,Iset’,Iset'
505386,Komsomol’skij,Prigorodnoye
703261,Lenino,Lenine
524083,Muzhich’ye,Muzhich'ye
496859,Serëdka,Seredka
481369,Troyel’ga,Troyelga
477958,Ust’-Shonosha,Ust'-Shonosha
476162,Velet’ma,Velet'ma
462240,Zol’noye,Zol'noye
1512238,Абагур,Abagur
584534,Абадзехская,Abadzekhskaya
1512205,Абаза,Abaza
1512236,Абакан,Abakan
1512223,Абалак,Abalak
1512210,Абатское,Abatskiy
584471,Абдулино,Abdulino
584329,Абзаково,Abzakovo
584441,Абинск,Abinsk
559324,Абрам Мыс,Abram Mys
584401,Абрамовка,Abramovka
584365,Абрау-Дюрсо,Abrau-Dyurso
580299,Авдон,Avdon
580252,Авилов,Avilov
580227,Авсюнино,Avsyunino
580221,Автозаводский Район,Tolyatti (Avtozavodskiy Rayon)
580218,Автуры,Avtury
580319,Авчурино,Avchurino
584059,Агалатово,Agalatovo
584051,Агаповка,Agapovka
583973,Агвали,Agvali
584021,Агеево,Ageyevo
484856,Агидель,Agidel
1512102,Агинское,Aginskoye
2028078,Агинское,Aginskoye
1512101,Агириш,Agirish
584003,Агой,Agoy
6416307,Агрогород Заря Подмосковья,Agrogorod Zarya Podmoskov'ya
583988,Агроном,Agronom
583983,Агрыз,Agryz
584279,Адамовка,Adamovka
584248,Адиль-Янгиюрт,Adil'-Yangiyurt
584243,Адлер,Adler
483142,Адыгейск,Adygeysk
1511146,Азанка,Azanka
580054,Азов,Azov
1511135,Азово,Azovo
580182,Айкино,Aykino
580167,Айша,Aysha
1512064,Ак-Довурак,Ak-Dovurak
1512086,Академгородок,Akademgorodok
9883011,Академический,Akademichesky District
583731,Аккермановка,Staraya Akkermanovka
583707,Акнада,Aknada
583674,Аксай,Aksay
583673,Аксай,Aksay
583683,Аксарайский,Aksarayskiy
1512019,Аксарка,Aksarka
583578,Актаныш,Aktanysh
583573,Акташ,Russkiy Aktash
583548,Актюбинский,Aktyubinskiy
583521,Акулово,Akulovo
583512,Акуша,Akusha
2028028,Акша,Aksha
583509,Акъяр,Ak”yar
583494,Алабино,Alabino
583491,Алабушево,Alabushevo
802078,Алагир,Alagir
583472,Алакуртти,Alakurtti
1511954,Алапаевск,Alapayevsk
583437,Алатырь,Alatyr'
2027968,Алдан,Aldan
1511783,Алейск,Aleysk
583368,Александрийская,Aleksandriyskaya
583358,Александро-Невский,Aleksandro-Nevskiy
583350,Александров,Aleksandrov
583345,Александров Гай,Aleksandrov Gay
583041,Александровск,Alexandrovsk
2127282,Александровск-Сахалинский,Aleksandrovsk-Sakhalinskiy
583034,Александровская,Aleksandrovskaya
583036,Александровская,Aleksandrovskaya
582993,Александровское,Aleksandrovskoye
582926,Алексеевка,Alekseyevka
522047,Алексеевка,Nikolayevka
582956,Алексеевка,Alekseyevka
2027911,Алексеевка,Alekseyevskaya
582854,Алексеевка,Alekseyevka
582817,Алексеевская,Alekseyevskaya
582783,Алексеевское,Alekseyevskoye
582775,Алексеевское,Alekseyevskoye
582750,Алексин,Aleksin
1511709,Алзамай,Alzamay
582544,Али-Бердуковский,Ali-Berdukovskiy
582504,Али-Юрт,Ali-Yurt
582533,Аликово,Alikovo
582462,Аллерой,Alleroy
582447,Алмазный,Almaznyy
582423,Алнаши,Alnashi
1511736,Алтайское,Altayskoye
582362,Алтуд,Altud
9881976,Алтуфьевский,Moscow (Altufyevsky District)
582358,Алтухово,Altukhovo
7044299,Алтынжар,Altynzhar
582493,Алхан-Кала,Alkhan-Kala
